Player Name,RBI's,HR's,Salary (in millions)
Miquel Cabrera,108,38,28.05
Yoenis Cespedes,86,31,27.5
Ryan Howard,59,25,25
Albert Pujols,119,31,25
Robinson Cano,103,39,24.05
Mark Teixeira,44,15,23.125
Joe Mauer,49,11,23
Hanley Ramirez,111,30,22.75
Justin Upton,87,31,22.125
Adrian Gonzalez,90,18,21.857
Jason Heyward,49,7,21.667
Jayson Werth,70,21,21.571
Matt Kemp,108,35,21.5
Jacoby Ellsbury,56,9,21.143
Chris Davis,84,38,21.119
Buster Posey,80,14,20.802
Shin-Soo Choo,17,7,20
Troy Tulowitzki,79,24,20
Ryan Braun,91,31,20
Joey Votto,97,29,20
Hunter Pence,57,13,18.5
Prince Fielder,44,8,18
Adrian Beltre,104,32,18
Victor Martinez,86,27,18
Carlos Gonzalez,100,25,17.454
Matt Holliday,62,20,17
Brian McCann,58,20,17
Mike Trout,100,29,16.083
David Ortiz,127,38,16
Adam Jones,83,29,16
Curtis Granderson,59,30,16
Colby Rasmus,54,15,15.8
Matt Wieters,66,17,15.8
J.D. Martinez,68,22,6.75
Brandon Crawford,84,12,6
Rajai Davis,48,12,5.95
Aaron Hill,38,10,12
Coco Crisp,55,13,11
Ben Zobrist,76,18,10.5
Justin Turner,90,27,5.1
Denard Span,53,11,5
Chris Iannetta,24,7,4.55
Leonys Martin,47,15,4.15
Justin Smoak,34,14,3.9
Jorge Soler,31,12,3.667
Evan Gattis,72,32,3.3
Logan Forsythe,52,20,2.75
Jean Segura,64,20,2.6