"method","grade"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"A","Not Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
"B","Not Passing"
